timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1637009074556,961,HTTP Request,200,OK,jmeter-getting 1-9,text,true,,105741,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,208,0,146
1637009074556,208,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-9,text,true,,727,126,3,3,https://www.google.com/classroom,208,0,146
1637009074765,347,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-9,text,true,,1917,123,3,3,https://classroom.google.com/,347,0,154
1637009075114,403,HTTP Request-2,200,OK,jmeter-getting 1-9,text,true,,103097,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,248,0,152
1637009074050,1728,HTTP Request,200,OK,jmeter-getting 1-8,text,true,,105751,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,223,0,161
1637009074050,223,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-8,text,true,,727,126,3,3,https://www.google.com/classroom,223,0,161
1637009074275,1106,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-8,text,true,,1917,123,3,3,https://classroom.google.com/,1106,0,147
1637009075383,395,HTTP Request-2,200,OK,jmeter-getting 1-8,text,true,,103107,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,238,0,140
1637009075057,1539,HTTP Request,200,OK,jmeter-getting 1-10,text,true,,104850,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,210,0,148
1637009075057,210,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-10,text,true,,727,126,4,4,https://www.google.com/classroom,210,0,148
1637009075269,928,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-10,text,true,,1917,123,4,4,https://classroom.google.com/,928,0,152
1637009076197,398,HTTP Request-2,200,OK,jmeter-getting 1-10,text,true,,102206,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,233,0,132
1637009075548,1814,HTTP Request,200,OK,jmeter-getting 1-11,text,true,,104924,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,230,0,167
1637009075548,230,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-11,text,true,,727,126,4,4,https://www.google.com/classroom,230,0,167
1637009075779,1147,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-11,text,true,,1917,123,4,4,https://classroom.google.com/,1147,0,142
1637009076928,434,HTTP Request-2,200,OK,jmeter-getting 1-11,text,true,,102280,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,270,0,166
1637009076051,1551,HTTP Request,200,OK,jmeter-getting 1-12,text,true,,105881,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,208,0,148
1637009076051,208,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-12,text,true,,727,126,4,4,https://www.google.com/classroom,208,0,148
1637009076260,914,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-12,text,true,,1917,123,4,4,https://classroom.google.com/,914,0,138
1637009077176,426,HTTP Request-2,200,OK,jmeter-getting 1-12,text,true,,103237,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,263,0,166
1637009076549,1731,HTTP Request,200,OK,jmeter-getting 1-13,text,true,,105791,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,208,0,146
1637009076549,208,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-13,text,true,,727,126,4,4,https://www.google.com/classroom,208,0,146
1637009076760,1128,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-13,text,true,,1917,123,4,4,https://classroom.google.com/,1128,0,157
1637009077891,389,HTTP Request-2,200,OK,jmeter-getting 1-13,text,true,,103147,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,227,0,133
1637009077048,1499,HTTP Request,200,OK,jmeter-getting 1-14,text,true,,104738,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,214,0,154
1637009077048,214,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-14,text,true,,727,126,3,3,https://www.google.com/classroom,214,0,154
1637009077264,919,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-14,text,true,,1917,123,3,3,https://classroom.google.com/,919,0,146
1637009078184,363,HTTP Request-2,200,OK,jmeter-getting 1-14,text,true,,102094,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,213,0,124
1637009077548,1170,HTTP Request,200,OK,jmeter-getting 1-15,text,true,,104854,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,216,0,154
1637009077548,216,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-15,text,true,,727,126,3,3,https://www.google.com/classroom,216,0,154
1637009077766,543,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-15,text,true,,1917,123,3,3,https://classroom.google.com/,543,0,151
1637009078310,408,HTTP Request-2,200,OK,jmeter-getting 1-15,text,true,,102210,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,243,0,136
1637009078047,1508,HTTP Request,200,OK,jmeter-getting 1-16,text,true,,104894,501,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,192,0,132
1637009078047,192,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-16,text,true,,727,126,4,4,https://www.google.com/classroom,192,0,132
1637009078240,902,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-16,text,true,,1917,123,4,4,https://classroom.google.com/,902,0,124
1637009079144,411,HTTP Request-2,200,OK,jmeter-getting 1-16,text,true,,102250,252,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,252,0,156
1637009078550,1158,HTTP Request,200,OK,jmeter-getting 1-17,text,true,,105805,501,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,213,0,150
1637009078550,213,HTTP Request-0,301,Moved Permanently,jmeter-getting 1-17,text,true,,727,126,3,3,https://www.google.com/classroom,213,0,150
1637009078764,518,HTTP Request-1,302,Moved Temporarily,jmeter-getting 1-17,text,true,,1917,123,3,3,https://classroom.google.com/,518,0,143
1637009079284,424,HTTP Request-2,200,OK,jmeter-getting 1-17,text,true,,103161,252,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,262,0,163
